id_tse;cargo;nome_completo;numero_candidato;nome_urna;situacao_candidatura;detalhe_situacao_candidatura;numero_partido;sigla_partido;nome_partido;municipio_nascimento;data_nascimento;genero;grau_instrucao;estado_civil;cor_raca;ocupacao;reeleicao;venceu;situacao_candidatura_urna;bens;receita_campanha;despesa_contratada_campanha;number;votos;porcentagem
160000623320;DEPUTADO ESTADUAL;VEVIANE DARODDA;40081;VEVIANE DARODDA;APTO;DEFERIDO;40;PSB;PARTIDO SOCIALISTA BRASILEIRO;APUCARANA;17/10/1981;FEMININO;SUPERIOR COMPLETO;DIVORCIADO(A);BRANCA;EMPRESÁRIO;N;SUPLENTE;DEFERIDO;295000.0;30000.0;30000.0;;;
160000619605;DEPUTADO FEDERAL;GERSON GOMES;1055;GERSON GOMES;APTO;DEFERIDO;10;PRB;PARTIDO REPUBLICANO BRASILEIRO;ARAUCÁRIA;08/03/1976;MASCULINO;SUPERIOR INCOMPLETO;SOLTEIRO(A);BRANCA;COMERCIANTE;N;SUPLENTE;DEFERIDO;10000.0;16427.16;15197.7;1055.0;0,02%;1147.0
160000612861;DEPUTADO FEDERAL;RENATO MOCELLIN;4312;PROFESSOR MOCELLIN;APTO;DEFERIDO;43;PV;PARTIDO VERDE;COLOMBO;06/01/1958;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;PROFESSOR DE ENSINO SUPERIOR;N;SUPLENTE;DEFERIDO;2135326.87;71100.0;70084.89;4312.0;0,35%;20088.0
160000619591;DEPUTADO FEDERAL;ADEMIR MANES;7000;ADEMIR DA AUTO ESCOLA;APTO;DEFERIDO;70;AVANTE;AVANTE;CAFELANDIA;24/12/1965;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;CASADO(A);BRANCA;GERENTE;N;SUPLENTE;DEFERIDO;390000.0;1850.0;2250.0;7000.0;0,01%;610.0
160000626010;DEPUTADO ESTADUAL;ALCIR VATRIM;17020;TIOZINHO DO DOG;APTO;DEFERIDO;17;PSL;PARTIDO SOCIAL LIBERAL;MAFRA;20/05/1969;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;SOLTEIRO(A);BRANCA;COMERCIANTE;N;SUPLENTE;DEFERIDO;49900.0;700.0;;;;
160000623027;DEPUTADO ESTADUAL;JOSÉ RODRIGUES LEMOS;13013;PROFESSOR LEMOS;APTO;DEFERIDO;13;PT;PARTIDO DOS TRABALHADORES;BARRA DE SÃO FRANCISCO;14/10/1963;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;DEPUTADO;S;ELEITO POR QP;DEFERIDO;936663.4;493064.51;469649.1;;;
160000624236;DEPUTADO ESTADUAL;JANDERSON FLAVIO MANTOVANI;23001;FLAVIO MANTOVANI;APTO;DEFERIDO;23;PPS;PARTIDO POPULAR SOCIALISTA;MARINGA;01/01/1979;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;ADVOGADO;N;SUPLENTE;DEFERIDO;165202.0;72271.3;71271.3;;;
160000624225;DEPUTADO ESTADUAL;ARTHUR RAFAEL RUSIK DE OLIVEIRA;23402;ARTHUR RUSIK;APTO;DEFERIDO;23;PPS;PARTIDO POPULAR SOCIALISTA;CURITIBA;16/03/1994;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);PARDA;AUXILIAR DE ESCRITÓRIO E ASSEMELHADOS;N;SUPLENTE;DEFERIDO;7000.0;5800.0;4346.99;;;
160000626049;DEPUTADO ESTADUAL;LUIZ FERNANDO GUERRA FILHO;17017;LUIZ FERNANDO GUERRA;APTO;DEFERIDO;17;PSL;PARTIDO SOCIAL LIBERAL;PATO BRANCO;18/12/1984;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;ADVOGADO;N;ELEITO POR QP;DEFERIDO;11971974.39;935424.3200000001;909776.94;;;
160000609966;DEPUTADO ESTADUAL;MAYCON ANDRÉ ROBERTO DE ANDRADE;18222;ROBERTO ANDRADE;INAPTO;RENÚNCIA;18;REDE;REDE SUSTENTABILIDADE;CAMPO MOURÃO;02/10/1996;MASCULINO;SUPERIOR INCOMPLETO;SOLTEIRO(A);PARDA;ESTUDANTE, BOLSISTA, ESTAGIÁRIO E ASSEMELHADOS;N;NÃO ELEITO;DEFERIDO;40000.0;1735.0;1061.5;;;
