id_tse;cargo;nome_completo;numero_candidato;nome_urna;situacao_candidatura;detalhe_situacao_candidatura;numero_partido;sigla_partido;nome_partido;municipio_nascimento;data_nascimento;genero;grau_instrucao;estado_civil;cor_raca;ocupacao;reeleicao;venceu;situacao_candidatura_urna;bens;receita_campanha;despesa_contratada_campanha;number;votos;porcentagem
240000624491;DEPUTADO FEDERAL;ADRIANA APARECIDA RAMOS PANTZIER;4421;ADRIANA RAMOS PANTZIER;APTO;DEFERIDO;44;PRP;PARTIDO REPUBLICANO PROGRESSISTA;FLORIANOPOLIS;04/03/1976;FEMININO;ENSINO MÉDIO COMPLETO;CASADO(A);BRANCA;NUTRICIONISTA E ASSEMELHADOS;N;NÃO ELEITO;DEFERIDO;386000.0;1000.0;998.3000000000001;4421.0;0,01%;348.0
240000614239;DEPUTADO FEDERAL;MARIA DAS NEVES LEWINSKI;5134;MARIA DAS NEVES;APTO;DEFERIDO;51;PATRIOTA;PATRIOTA;CAÇADOR;05/08/1960;FEMININO;LÊ E ESCREVE;SOLTEIRO(A);BRANCA;OUTROS;N;NÃO ELEITO;DEFERIDO;;891.83;;5134.0;0,00%;56.0
240000609673;DEPUTADO ESTADUAL;ANA CAROLINE CAMPAGNOLO;17771;ANA CAROLINE CAMPAGNOLO;APTO;DEFERIDO;17;PSL;PARTIDO SOCIAL LIBERAL;ITAJAÍ;26/11/1990;FEMININO;SUPERIOR COMPLETO;DIVORCIADO(A);BRANCA;PROFESSOR DE ENSINO MÉDIO;N;ELEITO POR QP;DEFERIDO;267600.0;21295.010000000002;7744.16;;;
240000610044;DEPUTADO ESTADUAL;DANIEL GUEDES COUTO;16123;DKG DEKILOGRAMA;APTO;DEFERIDO;16;PSTU;PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO;BAGÉ;12/05/1989;MASCULINO;ENSINO MÉDIO INCOMPLETO;SOLTEIRO(A);PRETA;CANTOR E COMPOSITOR;N;NÃO ELEITO;DEFERIDO;;1000.0;874.0;;;
240000622585;DEPUTADO ESTADUAL;JATIR JOSÉ BALBINOT;12678;JATIR BALBINOT;APTO;DEFERIDO;12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA;ÁGUAS DE CHAPECÓ;04/02/1973;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;VEREADOR;N;SUPLENTE;DEFERIDO;566291.4400000001;70663.2;70663.2;;;
240000600250;DEPUTADO FEDERAL;ADRIANA DORNELLES PAZ KAMIEN;3010;ADRIANA DORNELLES;APTO;DEFERIDO;30;NOVO;PARTIDO NOVO;SÃO BORJA;25/04/1967;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRANCA;ADVOGADO;N;SUPLENTE;DEFERIDO;666341.66;108009.36;97748.16;3010.0;0,52%;18323.0
240000619248;DEPUTADO FEDERAL;LUCAS WILSON GOTARDO;4004;LUCAS GOTARDO;APTO;DEFERIDO;40;PSB;PARTIDO SOCIALISTA BRASILEIRO;ITAJAÍ;30/10/1989;MASCULINO;SUPERIOR INCOMPLETO;SOLTEIRO(A);BRANCA;ESTUDANTE, BOLSISTA, ESTAGIÁRIO E ASSEMELHADOS;N;SUPLENTE;DEFERIDO;17744.36;17383.0;17236.48;4004.0;0,34%;12039.0
240000616344;DEPUTADO ESTADUAL;RICHARD WELLINSON BALDOINO GOTERRA;18222;RICHARD GOTERRA ;APTO;DEFERIDO;18;REDE;REDE SUSTENTABILIDADE;LAGUNA;20/11/1989;MASCULINO;SUPERIOR INCOMPLETO;SOLTEIRO(A);PRETA;OUTROS;N;NÃO ELEITO;DEFERIDO;;;;;;
240000624503;DEPUTADO FEDERAL;JOVINO CARDOSO NETO;9090;JOVINO CARDOSO;APTO;DEFERIDO;90;PROS;PARTIDO REPUBLICANO DA ORDEM SOCIAL;BLUMENAU;09/07/1968;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;VEREADOR;N;NÃO ELEITO;DEFERIDO;1179000.0;355745.84;345755.89;9090.0;0,47%;16799.0
240000614210;DEPUTADO FEDERAL;ALEXANDRE GONÇALVES DE PAIVA;3333;ALEXANDRE PAIVA;APTO;DEFERIDO;33;PMN;PARTIDO DA MOBILIZAÇÃO NACIONAL;SÃO PAULO;04/02/1976;MASCULINO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);BRANCA;OUTROS;N;NÃO ELEITO;DEFERIDO;270000.0;33828.3;31464.25;3333.0;0,06%;2218.0
